rank,name,developer,data_safety
354,Two Dots: Fun Dot & Line Games,PlayDots,https://legal.socialpoint.es/privacy?v2.0
355,Candy Crush Soda Saga,King,https://king.com/privacyPolicy
356,Dream League Soccer 2024,First Touch Games Ltd.,https://www.ftgames.com/privacy-policy
357,Temple Run,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
358,Tile Club - Match Puzzle Game,GamoVation,https://www.gamovation.com/legal/privacy-policy.html
359,Words of Wonders: Crossword,Fugo Games,http://fugo.com.tr/privacypolicy-wordsofwonders.html
360,Hay Day,Supercell,https://supercell.com/en/privacy-policy/
361,Free Fire: 7th Anniversary,Garena International I,https://content.garena.com/legal/pp/pp_en.html
362,Candy Crush Saga,King,https://king.com/privacyPolicy
363,Roblox,Roblox Corporation,http://www.roblox.com/info/Privacy.aspx
364,8 Ball Pool,Miniclip.com,https://www.miniclip.com/privacy-policy
365,Mobile Legends: Bang Bang,Moonton,https://m.mobilelegends.com/news/articleldetail?newsid=2690279
366,Clash of Clans,Supercell,https://supercell.com/en/privacy-policy/
367,Royal Match,"Dream Games, Ltd.",https://dreamgames.com/en/privacy
368,Free Fire MAX,Garena International I,https://content.garena.com/legal/pp/pp_en.html
369,Subway Surfers,SYBO Games,https://sybogames.com/privacy-policy/
370,Plants vs. Zombies™,ELECTRONIC ARTS,http://privacy.ea.com/en
371,Google Play Games,Google LLC,http://www.google.com/policies/privacy
372,Minion Rush: Running Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
373,Among Us,Innersloth LLC,https://www.innersloth.com/privacy.php
374,Township,Playrix,https://www.playrix.com/privacy/index.html
375,Asphalt 8 - Car Racing Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
376,Crossy Road,HIPSTER WHALE,http://www.crossyroad.com/privacy.html
377,Fruit Ninja®,Halfbrick Studios,https://www.halfbrick.com/pp
378,Minecraft,Mojang,http://go.microsoft.com/fwlink/?LinkId=521839
379,Temple Run 2,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
380,Farm Heroes Saga,King,https://king.com/privacyPolicy
381,Genshin Impact,COGNOSPHERE PTE. LTD.,https://genshin.hoyoverse.com/company/privacy
382,Pokémon GO,"Niantic, Inc.",https://nianticlabs.com/privacy/pokemongo/en
383,PUBG MOBILE,Level Infinite,http://pubgmobile.proximabeta.com/privacy.html
